DATE,MORTGAGE30US
2021-08-05,2.77
2021-08-12,2.87
2021-08-19,2.86
2021-08-26,2.87
2021-09-02,2.87
2021-09-09,2.88
2021-09-16,2.86
2021-09-23,2.88
2021-09-30,3.01
2021-10-07,2.99
2021-10-14,3.05
2021-10-21,3.09
2021-10-28,3.14
2021-11-04,3.09
2021-11-10,2.98
2021-11-18,3.1
2021-11-24,3.1
2021-12-02,3.11
2021-12-09,3.1
2021-12-16,3.12
2021-12-23,3.05
2021-12-30,3.11
2022-01-06,3.22
2022-01-13,3.45
2022-01-20,3.56
2022-01-27,3.55
2022-02-03,3.55
2022-02-10,3.69
2022-02-17,3.92
2022-02-24,3.89
2022-03-03,3.76
2022-03-10,3.85
2022-03-17,4.16
2022-03-24,4.42
2022-03-31,4.67
2022-04-07,4.72
2022-04-14,5.0
2022-04-21,5.11
2022-04-28,5.1
2022-05-05,5.27
2022-05-12,5.3
2022-05-19,5.25
2022-05-26,5.1
2022-06-02,5.09
2022-06-09,5.23
2022-06-16,5.78
2022-06-23,5.81
2022-06-30,5.7
2022-07-07,5.3
2022-07-14,5.51
2022-07-21,5.54
2022-07-28,5.3
2022-08-04,4.99
2022-08-11,5.22
2022-08-18,5.13
2022-08-25,5.55
2022-09-01,5.66
2022-09-08,5.89
2022-09-15,6.02
2022-09-22,6.29
2022-09-29,6.7
2022-10-06,6.66
2022-10-13,6.92
2022-10-20,6.94
2022-10-27,7.08
2022-11-03,6.95
2022-11-10,7.08
